,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,38,38,39,1,1,0,0,0 days 00:00:00.817219000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-fully_connected,proposed
0,19,19,20,1,1,0,0,0 days 00:00:00.859972000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-fully_connected,nash
0,38,38,39,1,1,0,0,0 days 00:00:00.010993000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-fully_connected,tket
0,28,28,29,1,1,0,0,0 days 00:00:00.760178000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-fully_connected,proposed
0,14,14,15,1,1,0,0,0 days 00:00:00.819808000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-fully_connected,nash
0,28,28,29,1,1,0,0,0 days 00:00:00.009543000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-fully_connected,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.769881000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-fully_connected,proposed
0,15,15,16,1,1,0,0,0 days 00:00:00.817749000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-fully_connected,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.012786000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-fully_connected,tket
0,38,38,39,1,1,0,0,0 days 00:00:00.766958000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-fully_connected,proposed
0,19,19,20,1,1,0,0,0 days 00:00:00.826334000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-fully_connected,nash
0,38,38,39,1,1,0,0,0 days 00:00:00.013860000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-fully_connected,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.751535000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-fully_connected,proposed
0,15,15,16,1,1,0,0,0 days 00:00:00.800014000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-fully_connected,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.010844000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-fully_connected,tket
0,40,40,41,1,1,0,0,0 days 00:00:00.756265000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-fully_connected,proposed
0,20,20,21,1,1,0,0,0 days 00:00:00.785149000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-fully_connected,nash
0,40,40,41,1,1,0,0,0 days 00:00:00.013993000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-fully_connected,tket
0,40,40,41,1,1,0,0,0 days 00:00:00.747217000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-fully_connected,proposed
0,20,20,21,1,1,0,0,0 days 00:00:01.064006000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-fully_connected,nash
0,40,40,41,1,1,0,0,0 days 00:00:00.011797000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-fully_connected,tket
0,26,26,27,1,1,0,0,0 days 00:00:00.872339000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-fully_connected,proposed
0,13,13,14,1,1,0,0,0 days 00:00:00.856034000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-fully_connected,nash
0,26,26,27,1,1,0,0,0 days 00:00:00.014602000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-fully_connected,tket
0,46,46,47,1,1,0,0,0 days 00:00:00.776355000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-fully_connected,proposed
0,23,23,24,1,1,0,0,0 days 00:00:00.819720000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-fully_connected,nash
0,46,46,47,1,1,0,0,0 days 00:00:00.013318000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-fully_connected,tket
0,20,20,21,1,1,0,0,0 days 00:00:00.756918000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-fully_connected,proposed
0,10,10,11,1,1,0,0,0 days 00:00:00.810773000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-fully_connected,nash
0,20,20,21,1,1,0,0,0 days 00:00:00.008269000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-fully_connected,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.738954000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-fully_connected,proposed
0,15,15,16,1,1,0,0,0 days 00:00:00.784412000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-fully_connected,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.009832000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-fully_connected,tket
0,38,38,39,1,1,0,0,0 days 00:00:00.736415000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-fully_connected,proposed
0,19,19,20,1,1,0,0,0 days 00:00:00.803797000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-fully_connected,nash
0,38,38,39,1,1,0,0,0 days 00:00:00.014900000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-fully_connected,tket
0,44,44,45,1,1,0,0,0 days 00:00:00.795687000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-fully_connected,proposed
0,22,22,23,1,1,0,0,0 days 00:00:00.805030000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-fully_connected,nash
0,44,44,45,1,1,0,0,0 days 00:00:00.012766000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-fully_connected,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.754276000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-fully_connected,proposed
0,15,15,16,1,1,0,0,0 days 00:00:00.827034000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-fully_connected,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.014556000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-fully_connected,tket
0,36,36,37,1,1,0,0,0 days 00:00:00.785287000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-fully_connected,proposed
0,18,18,19,1,1,0,0,0 days 00:00:00.817679000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-fully_connected,nash
0,36,36,37,1,1,0,0,0 days 00:00:00.014286000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-fully_connected,tket
