,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,154,224,188,57,100,0,0,0 days 00:00:00.043784000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-fully_connected,proposed
0,184,188,278,95,100,0,0,0 days 00:00:00.196485000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-fully_connected,nash
0,557,568,655,99,100,0,0,0 days 00:00:00.066217000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-fully_connected,tket
0,160,238,198,58,100,0,0,0 days 00:00:00.039011000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-fully_connected,proposed
0,167,172,262,95,100,0,0,0 days 00:00:00.178436000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-fully_connected,nash
0,519,530,615,97,100,0,0,0 days 00:00:00.067462000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-fully_connected,tket
0,172,233,209,58,100,0,0,0 days 00:00:00.039255000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-fully_connected,proposed
0,173,184,267,94,100,0,0,0 days 00:00:00.166041000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-fully_connected,nash
0,564,570,662,98,100,0,0,0 days 00:00:00.068653000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-fully_connected,tket
0,159,226,193,56,100,0,0,0 days 00:00:00.036719000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-fully_connected,proposed
0,161,166,254,94,100,0,0,0 days 00:00:00.185391000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-fully_connected,nash
0,611,626,708,97,100,0,0,0 days 00:00:00.071812000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-fully_connected,tket
0,159,234,196,58,100,0,0,0 days 00:00:00.039948000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-fully_connected,proposed
0,198,206,291,96,100,0,0,0 days 00:00:00.186461000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-fully_connected,nash
0,544,550,642,99,100,0,0,0 days 00:00:00.070375000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-fully_connected,tket
0,154,231,184,53,100,0,0,0 days 00:00:00.036471000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-fully_connected,proposed
0,177,186,268,91,100,0,0,0 days 00:00:00.180843000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-fully_connected,nash
0,630,652,727,98,100,0,0,0 days 00:00:00.068791000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-fully_connected,tket
0,157,231,193,53,100,0,0,0 days 00:00:00.037986000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-fully_connected,proposed
0,162,173,255,93,100,0,0,0 days 00:00:00.186828000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-fully_connected,nash
0,565,590,663,98,100,0,0,0 days 00:00:00.074306000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-fully_connected,tket
0,160,235,189,51,100,0,0,0 days 00:00:00.036481000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-fully_connected,proposed
0,183,188,275,94,100,0,0,0 days 00:00:00.206342000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-fully_connected,nash
0,579,588,675,97,100,0,0,0 days 00:00:00.073037000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-fully_connected,tket
0,170,236,203,62,100,0,0,0 days 00:00:00.040529000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-fully_connected,proposed
0,192,204,284,92,100,0,0,0 days 00:00:00.188023000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-fully_connected,nash
0,550,558,647,99,100,0,0,0 days 00:00:00.069461000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-fully_connected,tket
0,163,221,203,57,100,0,0,0 days 00:00:00.036082000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-fully_connected,proposed
0,174,182,264,91,100,0,0,0 days 00:00:00.188217000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-fully_connected,nash
0,572,582,668,96,100,0,0,0 days 00:00:00.067565000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-fully_connected,tket
0,152,230,184,57,100,0,0,0 days 00:00:00.035739000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-fully_connected,proposed
0,160,170,252,93,100,0,0,0 days 00:00:00.181557000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-fully_connected,nash
0,581,598,679,98,100,0,0,0 days 00:00:00.068037000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-fully_connected,tket
0,165,233,203,59,100,0,0,0 days 00:00:00.036942000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-fully_connected,proposed
0,188,197,280,92,100,0,0,0 days 00:00:00.177974000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-fully_connected,nash
0,542,552,638,96,100,0,0,0 days 00:00:00.068297000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-fully_connected,tket
0,169,233,200,54,100,0,0,0 days 00:00:00.036154000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-fully_connected,proposed
0,188,196,278,91,100,0,0,0 days 00:00:00.174703000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-fully_connected,nash
0,518,532,614,96,100,0,0,0 days 00:00:00.066171000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-fully_connected,tket
0,173,252,216,62,100,0,0,0 days 00:00:00.037302000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-fully_connected,proposed
