,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,40,50,41,1,1,0,0,0 days 00:00:00.066291000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,proposed
0,65,70,66,1,1,0,0,0 days 00:00:00.014126000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.006977000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,tket
0,36,36,37,1,1,0,0,0 days 00:00:00.066337000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,proposed
0,53,56,54,1,1,0,0,0 days 00:00:00.014245000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,staq
0,19,19,20,1,1,0,0,0 days 00:00:00.005347000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,tket
0,30,38,31,1,1,0,0,0 days 00:00:00.067118000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,proposed
0,67,76,68,1,1,0,0,0 days 00:00:00.014605000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,staq
0,29,29,30,1,1,0,0,0 days 00:00:00.007209000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,tket
0,38,44,39,1,1,0,0,0 days 00:00:00.069592000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,proposed
0,75,84,76,1,1,0,0,0 days 00:00:00.016428000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,staq
0,35,35,36,1,1,0,0,0 days 00:00:00.008311000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,tket
0,50,50,51,1,1,0,0,0 days 00:00:00.070369000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,proposed
0,83,94,84,1,1,0,0,0 days 00:00:00.013776000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.006422000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.067042000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,proposed
0,50,58,51,1,1,0,0,0 days 00:00:00.013988000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.006260000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,tket
0,44,44,45,1,1,0,0,0 days 00:00:00.067349000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,proposed
0,41,42,42,1,1,0,0,0 days 00:00:00.013453000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,staq
0,19,19,20,1,1,0,0,0 days 00:00:00.005471000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,tket
0,26,40,27,1,1,0,0,0 days 00:00:00.067573000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,proposed
0,106,114,107,1,1,0,0,0 days 00:00:00.014307000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,staq
0,27,27,28,1,1,0,0,0 days 00:00:00.006999000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,tket
0,36,42,37,1,1,0,0,0 days 00:00:00.068176000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,proposed
0,61,64,62,1,1,0,0,0 days 00:00:00.015155000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.007434000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,tket
0,44,48,45,1,1,0,0,0 days 00:00:00.067502000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,proposed
0,39,46,40,1,1,0,0,0 days 00:00:00.013465000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,staq
0,23,23,24,1,1,0,0,0 days 00:00:00.005880000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,tket
0,30,36,31,1,1,0,0,0 days 00:00:00.067976000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,proposed
0,51,62,52,1,1,0,0,0 days 00:00:00.014631000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,staq
0,31,31,32,1,1,0,0,0 days 00:00:00.008271000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,tket
0,36,44,37,1,1,0,0,0 days 00:00:00.068789000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,proposed
0,62,68,63,1,1,0,0,0 days 00:00:00.014185000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,staq
0,31,31,32,1,1,0,0,0 days 00:00:00.007785000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,tket
0,30,34,31,1,1,0,0,0 days 00:00:00.067225000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,proposed
0,55,58,56,1,1,0,0,0 days 00:00:00.013974000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.005591000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,tket
0,40,46,41,1,1,0,0,0 days 00:00:00.067017000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,proposed
0,44,48,45,1,1,0,0,0 days 00:00:00.013586000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.006108000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,tket
0,26,26,27,1,1,0,0,0 days 00:00:00.067137000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,proposed
0,51,54,52,1,1,0,0,0 days 00:00:00.013183000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.005499000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,tket
0,42,46,43,1,1,0,0,0 days 00:00:00.067991000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,proposed
0,80,96,81,1,1,0,0,0 days 00:00:00.014038000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.006183000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,tket
0,36,38,37,1,1,0,0,0 days 00:00:00.068649000,circuits/20qubits/1gadgets/Original9.qasm,1,20,ibmq_singapore,proposed
0,85,90,86,1,1,0,0,0 days 00:00:00.014399000,circuits/20qubits/1gadgets/Original9.qasm,1,20,ibmq_singapore,staq
