,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,40,50,41,1,1,0,0,0 days 00:00:00.068676000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,proposed
0,65,70,66,1,1,0,0,0 days 00:00:01.737571000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.006199000,circuits/20qubits/1gadgets/Original6.qasm,1,20,ibmq_singapore,tket
0,36,36,37,1,1,0,0,0 days 00:00:00.065852000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,proposed
0,53,56,54,1,1,0,0,0 days 00:00:01.623964000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,staq
0,19,19,20,1,1,0,0,0 days 00:00:00.005395000,circuits/20qubits/1gadgets/Original16.qasm,1,20,ibmq_singapore,tket
0,30,38,31,1,1,0,0,0 days 00:00:00.067133000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,proposed
0,67,76,68,1,1,0,0,0 days 00:00:01.878372000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,staq
0,29,29,30,1,1,0,0,0 days 00:00:00.007423000,circuits/20qubits/1gadgets/Original17.qasm,1,20,ibmq_singapore,tket
0,38,44,39,1,1,0,0,0 days 00:00:00.067612000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,proposed
0,75,84,76,1,1,0,0,0 days 00:00:01.551323000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,staq
0,35,35,36,1,1,0,0,0 days 00:00:00.009188000,circuits/20qubits/1gadgets/Original7.qasm,1,20,ibmq_singapore,tket
0,50,50,51,1,1,0,0,0 days 00:00:00.070663000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,proposed
0,83,94,84,1,1,0,0,0 days 00:00:01.788081000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.005414000,circuits/20qubits/1gadgets/Original10.qasm,1,20,ibmq_singapore,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.069472000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,proposed
0,50,58,51,1,1,0,0,0 days 00:00:01.997997000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.007343000,circuits/20qubits/1gadgets/Original0.qasm,1,20,ibmq_singapore,tket
0,44,44,45,1,1,0,0,0 days 00:00:00.089717000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,proposed
0,41,42,42,1,1,0,0,0 days 00:00:01.835747000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,staq
0,19,19,20,1,1,0,0,0 days 00:00:00.006134000,circuits/20qubits/1gadgets/Original1.qasm,1,20,ibmq_singapore,tket
0,26,40,27,1,1,0,0,0 days 00:00:00.073089000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,proposed
0,106,114,107,1,1,0,0,0 days 00:00:02.050767000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,staq
0,27,27,28,1,1,0,0,0 days 00:00:00.005743000,circuits/20qubits/1gadgets/Original11.qasm,1,20,ibmq_singapore,tket
0,36,42,37,1,1,0,0,0 days 00:00:00.072365000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,proposed
0,61,64,62,1,1,0,0,0 days 00:00:01.788682000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.005443000,circuits/20qubits/1gadgets/Original12.qasm,1,20,ibmq_singapore,tket
0,44,48,45,1,1,0,0,0 days 00:00:00.066743000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,proposed
0,39,46,40,1,1,0,0,0 days 00:00:01.705870000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,staq
0,23,23,24,1,1,0,0,0 days 00:00:00.005516000,circuits/20qubits/1gadgets/Original2.qasm,1,20,ibmq_singapore,tket
0,30,36,31,1,1,0,0,0 days 00:00:00.065902000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,proposed
0,51,62,52,1,1,0,0,0 days 00:00:01.739486000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,staq
0,31,31,32,1,1,0,0,0 days 00:00:00.007825000,circuits/20qubits/1gadgets/Original3.qasm,1,20,ibmq_singapore,tket
0,36,44,37,1,1,0,0,0 days 00:00:00.065854000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,proposed
0,62,68,63,1,1,0,0,0 days 00:00:01.703333000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,staq
0,31,31,32,1,1,0,0,0 days 00:00:00.007021000,circuits/20qubits/1gadgets/Original13.qasm,1,20,ibmq_singapore,tket
0,30,34,31,1,1,0,0,0 days 00:00:00.063873000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,proposed
0,55,58,56,1,1,0,0,0 days 00:00:02.017243000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.004937000,circuits/20qubits/1gadgets/Original18.qasm,1,20,ibmq_singapore,tket
0,40,46,41,1,1,0,0,0 days 00:00:00.067484000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,proposed
0,44,48,45,1,1,0,0,0 days 00:00:01.717034000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.004839000,circuits/20qubits/1gadgets/Original4.qasm,1,20,ibmq_singapore,tket
0,26,26,27,1,1,0,0,0 days 00:00:00.064650000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,proposed
0,51,54,52,1,1,0,0,0 days 00:00:01.692753000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,staq
0,21,21,22,1,1,0,0,0 days 00:00:00.004661000,circuits/20qubits/1gadgets/Original14.qasm,1,20,ibmq_singapore,tket
0,42,46,43,1,1,0,0,0 days 00:00:00.064552000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,proposed
0,80,96,81,1,1,0,0,0 days 00:00:01.850981000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,staq
0,25,25,26,1,1,0,0,0 days 00:00:00.005283000,circuits/20qubits/1gadgets/Original8.qasm,1,20,ibmq_singapore,tket
