,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,102,102,103,1,1,0,0,0 days 00:00:00.643807000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-line,proposed
0,39,67,39,1,1,0,0,0 days 00:00:00.759680000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-line,nash
0,41,41,42,1,1,0,0,0 days 00:00:00.022145000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-line,tket
0,104,104,105,1,1,0,0,0 days 00:00:00.716712000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-line,proposed
0,36,71,36,1,1,0,0,0 days 00:00:00.712679000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-line,nash
0,31,31,32,1,1,0,0,0 days 00:00:00.014499000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-line,tket
0,110,110,111,1,1,0,0,0 days 00:00:00.698761000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-line,proposed
0,37,75,37,1,1,0,0,0 days 00:00:00.754022000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-line,nash
0,33,33,34,1,1,0,0,0 days 00:00:00.016580000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-line,tket
0,78,78,79,1,1,0,0,0 days 00:00:00.693066000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-line,proposed
0,29,49,30,1,1,0,0,0 days 00:00:00.711286000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-line,nash
0,41,41,42,1,1,0,0,0 days 00:00:00.016061000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-line,tket
0,106,106,107,1,1,0,0,0 days 00:00:00.639184000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-line,proposed
0,43,72,43,1,1,0,0,0 days 00:00:00.702291000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-line,nash
0,33,33,34,1,1,0,0,0 days 00:00:00.014006000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-line,tket
0,96,96,97,1,1,0,0,0 days 00:00:00.695730000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-line,proposed
0,36,62,36,1,1,0,0,0 days 00:00:00.707563000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-line,nash
0,43,43,44,1,1,0,0,0 days 00:00:00.017568000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-line,tket
0,96,96,97,1,1,0,0,0 days 00:00:00.642779000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-line,proposed
0,36,62,36,1,1,0,0,0 days 00:00:00.705324000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-line,nash
0,43,43,44,1,1,0,0,0 days 00:00:00.017002000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-line,tket
0,82,82,83,1,1,0,0,0 days 00:00:00.646379000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-line,proposed
0,28,55,28,1,1,0,0,0 days 00:00:00.702570000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-line,nash
0,29,29,30,1,1,0,0,0 days 00:00:00.013311000,circuits/36qubits/1gadgets/Original11.qasm,1,36,36q-line,tket
0,90,90,91,1,1,0,0,0 days 00:00:00.659153000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-line,proposed
0,36,56,36,1,1,0,0,0 days 00:00:00.704060000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-line,nash
0,49,49,50,1,1,0,0,0 days 00:00:00.018345000,circuits/36qubits/1gadgets/Original12.qasm,1,36,36q-line,tket
0,120,120,121,1,1,0,0,0 days 00:00:00.644220000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-line,proposed
0,41,85,41,1,1,0,0,0 days 00:00:00.706534000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-line,nash
0,23,23,24,1,1,0,0,0 days 00:00:00.011866000,circuits/36qubits/1gadgets/Original2.qasm,1,36,36q-line,tket
0,102,102,103,1,1,0,0,0 days 00:00:00.683176000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-line,proposed
0,34,69,35,1,1,0,0,0 days 00:00:00.704082000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-line,nash
0,33,33,34,1,1,0,0,0 days 00:00:00.014584000,circuits/36qubits/1gadgets/Original3.qasm,1,36,36q-line,tket
0,94,94,95,1,1,0,0,0 days 00:00:00.642293000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-line,proposed
0,37,61,37,1,1,0,0,0 days 00:00:00.706046000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-line,nash
0,41,41,42,1,1,0,0,0 days 00:00:00.016137000,circuits/36qubits/1gadgets/Original13.qasm,1,36,36q-line,tket
0,92,92,93,1,1,0,0,0 days 00:00:00.642172000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-line,proposed
0,34,58,35,1,1,0,0,0 days 00:00:00.713474000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-line,nash
0,47,47,48,1,1,0,0,0 days 00:00:00.017913000,circuits/36qubits/1gadgets/Original18.qasm,1,36,36q-line,tket
0,94,94,95,1,1,0,0,0 days 00:00:00.642782000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-line,proposed
0,34,63,34,1,1,0,0,0 days 00:00:00.710911000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-line,nash
0,33,33,34,1,1,0,0,0 days 00:00:00.014184000,circuits/36qubits/1gadgets/Original4.qasm,1,36,36q-line,tket
0,84,84,85,1,1,0,0,0 days 00:00:00.643482000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-line,proposed
0,32,54,32,1,1,0,0,0 days 00:00:00.706558000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-line,nash
0,39,39,40,1,1,0,0,0 days 00:00:00.015320000,circuits/36qubits/1gadgets/Original14.qasm,1,36,36q-line,tket
0,106,106,107,1,1,0,0,0 days 00:00:00.655078000,circuits/36qubits/1gadgets/Original8.qasm,1,36,36q-line,proposed
0,37,72,37,1,1,0,0,0 days 00:00:00.710515000,circuits/36qubits/1gadgets/Original8.qasm,1,36,36q-line,nash
0,33,33,34,1,1,0,0,0 days 00:00:00.014024000,circuits/36qubits/1gadgets/Original8.qasm,1,36,36q-line,tket
0,102,102,103,1,1,0,0,0 days 00:00:00.643936000,circuits/36qubits/1gadgets/Original9.qasm,1,36,36q-line,proposed
0,38,67,38,1,1,0,0,0 days 00:00:00.708644000,circuits/36qubits/1gadgets/Original9.qasm,1,36,36q-line,nash
0,41,41,42,1,1,0,0,0 days 00:00:00.015945000,circuits/36qubits/1gadgets/Original9.qasm,1,36,36q-line,tket
0,104,104,105,1,1,0,0,0 days 00:00:00.642611000,circuits/36qubits/1gadgets/Original15.qasm,1,36,36q-line,proposed
0,37,69,38,1,1,0,0,0 days 00:00:00.704833000,circuits/36qubits/1gadgets/Original15.qasm,1,36,36q-line,nash
0,39,39,40,1,1,0,0,0 days 00:00:00.015322000,circuits/36qubits/1gadgets/Original15.qasm,1,36,36q-line,tket
0,74,74,75,1,1,0,0,0 days 00:00:00.642000000,circuits/36qubits/1gadgets/Original5.qasm,1,36,36q-line,proposed
0,29,48,29,1,1,0,0,0 days 00:00:00.746482000,circuits/36qubits/1gadgets/Original5.qasm,1,36,36q-line,nash
