,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,297,578,308,61,100,0,0,0 days 00:00:00.038546000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-line,proposed
0,392,716,414,88,100,0,0,0 days 00:00:00.157586000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-line,nash
0,1081,1357,1175,99,100,0,0,0 days 00:00:00.107473000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-line,tket
0,364,589,416,93,100,0,0,0 days 00:00:00.036747000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-line,proposed
0,389,735,420,93,100,0,0,0 days 00:00:00.167034000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-line,nash
0,1004,1272,1099,97,100,0,0,0 days 00:00:00.105746000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-line,tket
0,357,609,393,81,100,0,0,0 days 00:00:00.037794000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-line,proposed
0,381,738,412,94,100,0,0,0 days 00:00:00.174494000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-line,nash
0,1115,1415,1210,98,100,0,0,0 days 00:00:00.119358000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-line,tket
0,319,577,361,81,100,0,0,0 days 00:00:00.036678000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-line,proposed
0,435,795,449,94,100,0,0,0 days 00:00:00.182736000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-line,nash
0,1254,1551,1349,98,100,0,0,0 days 00:00:00.119635000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-line,tket
0,319,541,380,91,100,0,0,0 days 00:00:00.036564000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-line,proposed
0,475,954,482,96,100,0,0,0 days 00:00:00.200366000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-line,nash
0,1136,1469,1230,99,100,0,0,0 days 00:00:00.119149000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-line,tket
0,348,579,399,82,100,0,0,0 days 00:00:00.036468000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-line,proposed
0,491,978,502,97,100,0,0,0 days 00:00:00.195489000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-line,nash
0,1211,1533,1300,98,100,0,0,0 days 00:00:00.114240000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-line,tket
0,335,581,373,82,100,0,0,0 days 00:00:00.037279000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-line,proposed
0,432,862,446,95,100,0,0,0 days 00:00:00.185433000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-line,nash
0,1056,1372,1147,98,100,0,0,0 days 00:00:00.112072000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-line,tket
0,318,551,348,72,100,0,0,0 days 00:00:00.035979000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-line,proposed
0,450,905,453,91,100,0,0,0 days 00:00:00.193309000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-line,nash
0,1345,1686,1438,97,100,0,0,0 days 00:00:00.126920000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-line,tket
0,296,569,312,61,100,0,0,0 days 00:00:00.038306000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-line,proposed
0,428,833,451,95,100,0,0,0 days 00:00:00.185650000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-line,nash
0,1164,1483,1258,99,100,0,0,0 days 00:00:00.120536000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-line,tket
0,265,518,284,56,100,0,0,0 days 00:00:00.035909000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-line,proposed
0,429,812,444,94,100,0,0,0 days 00:00:00.195165000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-line,nash
0,1094,1352,1189,96,100,0,0,0 days 00:00:00.105993000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-line,tket
0,315,569,343,76,100,0,0,0 days 00:00:00.038513000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-line,proposed
0,388,783,405,91,100,0,0,0 days 00:00:00.206167000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-line,nash
0,1090,1399,1184,98,100,0,0,0 days 00:00:00.117345000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-line,tket
0,313,550,355,77,100,0,0,0 days 00:00:00.039595000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-line,proposed
0,417,832,443,95,100,0,0,0 days 00:00:00.194284000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-line,nash
0,979,1272,1071,97,100,0,0,0 days 00:00:00.115005000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-line,tket
0,306,572,329,71,100,0,0,0 days 00:00:00.038503000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-line,proposed
0,375,678,400,94,100,0,0,0 days 00:00:00.177965000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-line,nash
0,943,1229,1036,97,100,0,0,0 days 00:00:00.109081000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-line,tket
0,306,582,323,73,100,0,0,0 days 00:00:00.036790000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-line,proposed
0,413,790,432,92,100,0,0,0 days 00:00:00.177718000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-line,nash
0,1002,1252,1096,97,100,0,0,0 days 00:00:00.109699000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-line,tket
0,306,586,319,62,100,0,0,0 days 00:00:00.039138000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-line,proposed
0,446,920,464,93,100,0,0,0 days 00:00:00.193363000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-line,nash
0,1199,1521,1295,99,100,0,0,0 days 00:00:00.118745000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-line,tket
0,333,593,377,84,100,0,0,0 days 00:00:00.038852000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-line,proposed
0,403,823,420,94,100,0,0,0 days 00:00:00.189797000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-line,nash
0,1022,1354,1115,99,100,0,0,0 days 00:00:00.116387000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-line,tket
0,310,555,346,77,100,0,0,0 days 00:00:00.037020000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-line,proposed
0,413,882,432,91,100,0,0,0 days 00:00:00.177676000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-line,nash
