,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,16,22,17,1,1,0,0,0 days 00:00:00.032223000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,proposed
0,27,30,28,1,1,0,0,0 days 00:00:00.035825000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,staq
0,10,10,11,1,1,0,0,0 days 00:00:00.003192000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,tket
0,28,42,29,1,1,0,0,0 days 00:00:00.034862000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,proposed
0,30,38,31,1,1,0,0,0 days 00:00:00.014921000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.003416000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.031382000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,proposed
0,18,22,19,1,1,0,0,0 days 00:00:00.017314000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.004106000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,tket
0,42,44,43,1,1,0,0,0 days 00:00:00.036237000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,proposed
0,24,28,25,1,1,0,0,0 days 00:00:00.013045000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,staq
0,12,12,13,1,1,0,0,0 days 00:00:00.003127000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,tket
0,12,16,13,1,1,0,0,0 days 00:00:00.033791000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,proposed
0,28,32,29,1,1,0,0,0 days 00:00:00.013270000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,staq
0,12,12,13,1,1,0,0,0 days 00:00:00.003162000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,tket
0,24,26,25,1,1,0,0,0 days 00:00:00.033684000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,proposed
0,28,34,29,1,1,0,0,0 days 00:00:00.013293000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,staq
0,18,18,19,1,1,0,0,0 days 00:00:00.005068000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,tket
0,28,34,29,1,1,0,0,0 days 00:00:00.031997000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,proposed
0,36,42,37,1,1,0,0,0 days 00:00:00.014347000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.004181000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.032349000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,proposed
0,23,38,24,1,1,0,0,0 days 00:00:00.014024000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.003741000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.040435000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,proposed
0,21,26,22,1,1,0,0,0 days 00:00:00.014125000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,staq
0,10,10,11,1,1,0,0,0 days 00:00:00.003087000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,tket
0,40,40,41,1,1,0,0,0 days 00:00:00.039319000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,proposed
0,22,36,23,1,1,0,0,0 days 00:00:00.018578000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,staq
0,16,16,17,1,1,0,0,0 days 00:00:00.004053000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,tket
0,32,34,33,1,1,0,0,0 days 00:00:00.037289000,circuits/16qubits/1gadgets/Original3.qasm,1,16,rigetti_16q_aspen,proposed
0,24,36,25,1,1,0,0,0 days 00:00:00.014653000,circuits/16qubits/1gadgets/Original3.qasm,1,16,rigetti_16q_aspen,staq
0,18,18,19,1,1,0,0,0 days 00:00:00.003864000,circuits/16qubits/1gadgets/Original3.qasm,1,16,rigetti_16q_aspen,tket
0,20,32,21,1,1,0,0,0 days 00:00:00.034249000,circuits/16qubits/1gadgets/Original13.qasm,1,16,rigetti_16q_aspen,proposed
0,24,36,25,1,1,0,0,0 days 00:00:00.021657000,circuits/16qubits/1gadgets/Original13.qasm,1,16,rigetti_16q_aspen,staq
0,16,16,17,1,1,0,0,0 days 00:00:00.003896000,circuits/16qubits/1gadgets/Original13.qasm,1,16,rigetti_16q_aspen,tket
