,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,16,22,17,1,1,0,0,0 days 00:00:00.038698000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,proposed
0,27,30,28,1,1,0,0,0 days 00:00:00.524624000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,staq
0,10,10,11,1,1,0,0,0 days 00:00:00.003577000,circuits/16qubits/1gadgets/Original6.qasm,1,16,rigetti_16q_aspen,tket
0,28,42,29,1,1,0,0,0 days 00:00:00.035263000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,proposed
0,30,38,31,1,1,0,0,0 days 00:00:00.543244000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.003060000,circuits/16qubits/1gadgets/Original16.qasm,1,16,rigetti_16q_aspen,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.037022000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,proposed
0,18,22,19,1,1,0,0,0 days 00:00:00.477315000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.003846000,circuits/16qubits/1gadgets/Original17.qasm,1,16,rigetti_16q_aspen,tket
0,42,44,43,1,1,0,0,0 days 00:00:00.035220000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,proposed
0,24,28,25,1,1,0,0,0 days 00:00:00.481270000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,staq
0,12,12,13,1,1,0,0,0 days 00:00:00.003675000,circuits/16qubits/1gadgets/Original7.qasm,1,16,rigetti_16q_aspen,tket
0,12,16,13,1,1,0,0,0 days 00:00:00.036623000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,proposed
0,28,32,29,1,1,0,0,0 days 00:00:00.525088000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,staq
0,12,12,13,1,1,0,0,0 days 00:00:00.003379000,circuits/16qubits/1gadgets/Original10.qasm,1,16,rigetti_16q_aspen,tket
0,24,26,25,1,1,0,0,0 days 00:00:00.035490000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,proposed
0,28,34,29,1,1,0,0,0 days 00:00:00.511785000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,staq
0,18,18,19,1,1,0,0,0 days 00:00:00.004577000,circuits/16qubits/1gadgets/Original0.qasm,1,16,rigetti_16q_aspen,tket
0,28,34,29,1,1,0,0,0 days 00:00:00.035286000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,proposed
0,36,42,37,1,1,0,0,0 days 00:00:00.561610000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.005957000,circuits/16qubits/1gadgets/Original1.qasm,1,16,rigetti_16q_aspen,tket
0,28,30,29,1,1,0,0,0 days 00:00:00.035569000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,proposed
0,23,38,24,1,1,0,0,0 days 00:00:00.563807000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,staq
0,14,14,15,1,1,0,0,0 days 00:00:00.003734000,circuits/16qubits/1gadgets/Original11.qasm,1,16,rigetti_16q_aspen,tket
0,30,30,31,1,1,0,0,0 days 00:00:00.040718000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,proposed
0,21,26,22,1,1,0,0,0 days 00:00:00.488533000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,staq
0,10,10,11,1,1,0,0,0 days 00:00:00.003566000,circuits/16qubits/1gadgets/Original12.qasm,1,16,rigetti_16q_aspen,tket
0,40,40,41,1,1,0,0,0 days 00:00:00.036389000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,proposed
0,22,36,23,1,1,0,0,0 days 00:00:00.590912000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,staq
0,16,16,17,1,1,0,0,0 days 00:00:00.003756000,circuits/16qubits/1gadgets/Original2.qasm,1,16,rigetti_16q_aspen,tket
