,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,34,62,35,1,1,0,0,0 days 00:00:00.684072000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-square,proposed
0,13,37,13,1,1,0,0,0 days 00:00:00.778129000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-square,nash
0,38,38,39,1,1,0,0,0 days 00:00:00.011816000,circuits/36qubits/1gadgets/Original6.qasm,1,36,36q-square,tket
0,30,56,31,1,1,0,0,0 days 00:00:00.686146000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-square,proposed
0,36,53,36,1,1,0,0,0 days 00:00:00.764212000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-square,nash
0,28,28,29,1,1,0,0,0 days 00:00:00.010421000,circuits/36qubits/1gadgets/Original16.qasm,1,36,36q-square,tket
0,38,66,39,1,1,0,0,0 days 00:00:00.708466000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-square,proposed
0,19,41,19,1,1,0,0,0 days 00:00:00.778395000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-square,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.010274000,circuits/36qubits/1gadgets/Original17.qasm,1,36,36q-square,tket
0,32,50,33,1,1,0,0,0 days 00:00:00.685157000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-square,proposed
0,10,26,11,1,1,0,0,0 days 00:00:00.734076000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-square,nash
0,38,38,39,1,1,0,0,0 days 00:00:00.014926000,circuits/36qubits/1gadgets/Original7.qasm,1,36,36q-square,tket
0,34,54,35,1,1,0,0,0 days 00:00:00.684691000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-square,proposed
0,12,32,12,1,1,0,0,0 days 00:00:00.746512000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-square,nash
0,30,30,31,1,1,0,0,0 days 00:00:00.010472000,circuits/36qubits/1gadgets/Original10.qasm,1,36,36q-square,tket
0,32,60,33,1,1,0,0,0 days 00:00:00.674252000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-square,proposed
0,9,32,10,1,1,0,0,0 days 00:00:00.889784000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-square,nash
0,40,40,41,1,1,0,0,0 days 00:00:00.014948000,circuits/36qubits/1gadgets/Original0.qasm,1,36,36q-square,tket
0,36,72,37,1,1,0,0,0 days 00:00:00.675611000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-square,proposed
0,30,46,30,1,1,0,0,0 days 00:00:00.741848000,circuits/36qubits/1gadgets/Original1.qasm,1,36,36q-square,nash
