,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,289,479,321,70,100,0,0,0 days 00:00:00.047629000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-square,proposed
0,379,567,414,92,100,0,0,0 days 00:00:00.287399000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-square,nash
0,789,895,884,99,100,0,0,0 days 00:00:00.140512000,circuits/9qubits/100gadgets/Original6.qasm,100,9,9q-square,tket
0,317,466,357,76,100,0,0,0 days 00:00:00.046255000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-square,proposed
0,330,472,361,92,100,0,0,0 days 00:00:00.191250000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-square,nash
0,790,938,885,98,100,0,0,0 days 00:00:00.106268000,circuits/9qubits/100gadgets/Original16.qasm,100,9,9q-square,tket
0,261,450,295,74,100,0,0,0 days 00:00:00.041472000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-square,proposed
0,323,469,363,95,100,0,0,0 days 00:00:00.221349000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-square,nash
0,857,992,954,98,100,0,0,0 days 00:00:00.154182000,circuits/9qubits/100gadgets/Original17.qasm,100,9,9q-square,tket
0,282,455,307,66,100,0,0,0 days 00:00:00.039790000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-square,proposed
0,312,442,360,94,100,0,0,0 days 00:00:00.235852000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-square,nash
0,955,1106,1051,98,100,0,0,0 days 00:00:00.115321000,circuits/9qubits/100gadgets/Original7.qasm,100,9,9q-square,tket
0,280,420,318,70,100,0,0,0 days 00:00:00.043447000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-square,proposed
0,295,449,323,95,100,0,0,0 days 00:00:00.204429000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-square,nash
0,905,1044,1002,99,100,0,0,0 days 00:00:00.113068000,circuits/9qubits/100gadgets/Original10.qasm,100,9,9q-square,tket
0,278,484,322,74,100,0,0,0 days 00:00:00.040774000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-square,proposed
0,295,476,330,94,100,0,0,0 days 00:00:00.196354000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-square,nash
0,984,1113,1081,98,100,0,0,0 days 00:00:00.106171000,circuits/9qubits/100gadgets/Original0.qasm,100,9,9q-square,tket
0,261,434,288,60,100,0,0,0 days 00:00:00.068111000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-square,proposed
0,288,460,333,91,100,0,0,0 days 00:00:00.190910000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-square,nash
0,844,1006,938,98,100,0,0,0 days 00:00:00.105872000,circuits/9qubits/100gadgets/Original1.qasm,100,9,9q-square,tket
0,263,429,296,65,100,0,0,0 days 00:00:00.038569000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-square,proposed
0,333,474,354,94,100,0,0,0 days 00:00:00.192673000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-square,nash
0,946,1094,1043,98,100,0,0,0 days 00:00:00.119928000,circuits/9qubits/100gadgets/Original11.qasm,100,9,9q-square,tket
0,320,502,339,64,100,0,0,0 days 00:00:00.044511000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-square,proposed
0,323,459,367,93,100,0,0,0 days 00:00:00.186269000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-square,nash
0,885,1043,982,99,100,0,0,0 days 00:00:00.109697000,circuits/9qubits/100gadgets/Original12.qasm,100,9,9q-square,tket
0,282,458,313,71,100,0,0,0 days 00:00:00.039788000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-square,proposed
0,310,453,352,96,100,0,0,0 days 00:00:00.195403000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-square,nash
0,894,1040,988,96,100,0,0,0 days 00:00:00.103644000,circuits/9qubits/100gadgets/Original2.qasm,100,9,9q-square,tket
0,293,462,331,72,100,0,0,0 days 00:00:00.041452000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-square,proposed
0,281,476,324,89,100,0,0,0 days 00:00:00.185459000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-square,nash
0,868,1025,966,98,100,0,0,0 days 00:00:00.103408000,circuits/9qubits/100gadgets/Original3.qasm,100,9,9q-square,tket
0,308,483,328,67,100,0,0,0 days 00:00:00.043335000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-square,proposed
0,320,441,353,95,100,0,0,0 days 00:00:00.185074000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-square,nash
0,830,992,925,97,100,0,0,0 days 00:00:00.107145000,circuits/9qubits/100gadgets/Original13.qasm,100,9,9q-square,tket
0,301,455,324,70,100,0,0,0 days 00:00:00.047544000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-square,proposed
0,308,469,360,89,100,0,0,0 days 00:00:00.203940000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-square,nash
0,752,908,846,96,100,0,0,0 days 00:00:00.105937000,circuits/9qubits/100gadgets/Original18.qasm,100,9,9q-square,tket
0,279,492,300,67,100,0,0,0 days 00:00:00.039798000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-square,proposed
0,327,457,371,94,100,0,0,0 days 00:00:00.185462000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-square,nash
0,826,980,924,99,100,0,0,0 days 00:00:00.120862000,circuits/9qubits/100gadgets/Original4.qasm,100,9,9q-square,tket
0,291,472,324,73,100,0,0,0 days 00:00:00.042604000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-square,proposed
0,316,468,366,92,100,0,0,0 days 00:00:00.178490000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-square,nash
0,920,1062,1017,99,100,0,0,0 days 00:00:00.187388000,circuits/9qubits/100gadgets/Original14.qasm,100,9,9q-square,tket
0,279,428,312,69,100,0,0,0 days 00:00:00.038381000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-square,proposed
0,333,448,377,95,100,0,0,0 days 00:00:00.194398000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-square,nash
0,871,1090,962,99,100,0,0,0 days 00:00:00.118205000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-square,tket
0,297,477,334,73,100,0,0,0 days 00:00:00.040034000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,proposed
0,315,500,383,94,100,0,0,0 days 00:00:00.212425000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,nash
0,842,980,937,98,100,0,0,0 days 00:00:00.104823000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,tket
0,283,456,315,72,100,0,0,0 days 00:00:00.040651000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,proposed
0,321,518,362,97,100,0,0,0 days 00:00:00.182903000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,nash
0,874,1024,970,99,100,0,0,0 days 00:00:00.145356000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,tket
0,260,451,299,74,100,0,0,0 days 00:00:00.050624000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,proposed
0,339,515,380,91,100,0,0,0 days 00:00:00.210001000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,nash
0,896,1054,992,100,100,0,0,0 days 00:00:00.115585000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,tket
0,253,434,292,70,100,0,0,0 days 00:00:00.039572000,circuits/9qubits/100gadgets/Original19.qasm,100,9,9q-square,proposed
